,do,temp,temp_diff,precip
553,2,0,3,2
16,3,2,2,3
268,2,1,0,1
552,1,4,4,2
569,1,0,3,4
474,1,4,4,3
249,4,1,0,3
29,1,1,1,2
152,1,4,4,3
578,0,1,0,1
310,4,1,1,2
465,0,2,3,1
188,2,1,1,2
519,2,0,3,2
446,0,4,4,1
424,3,2,4,2
356,4,0,2,2
205,2,4,4,1
339,4,0,1,0
558,0,3,4,1
353,4,0,0,2
287,2,3,0,4
341,4,0,1,3
576,0,1,0,1
301,4,0,1,0
489,0,4,4,1
415,0,4,4,0
409,0,1,2,4
362,4,0,0,2
124,0,3,3,3
118,3,4,4,1
231,4,0,1,0
368,4,0,1,1
374,0,1,0,0
128,2,3,4,0
228,0,3,2,3
202,1,4,3,3
39,1,4,3,1
482,0,1,2,2
428,0,3,4,1
502,0,3,3,4
523,0,1,2,3
520,3,1,4,1
365,4,0,0,1
293,0,0,1,0
62,3,2,2,3
121,1,3,3,2
64,4,4,3,2
199,1,0,1,4
306,4,2,2,1
453,3,2,4,2
364,4,1,0,3
140,2,1,1,2
348,2,1,0,1
92,0,4,3,0
206,2,4,3,0
159,3,0,0,4
450,4,3,4,4
340,4,0,0,0
107,2,3,1,0
226,1,4,4,0
180,3,4,4,1
122,2,3,2,3
24,1,4,2,2
383,4,1,0,0
41,2,4,3,1
289,0,2,1,2
73,2,1,1,2
401,4,0,1,1
397,4,1,0,3
426,2,0,3,2
332,3,1,1,4
75,3,2,4,2
527,0,3,3,3
166,3,0,1,3
90,2,1,1,2
50,1,4,2,2
568,2,2,2,2
130,1,4,4,0
66,4,1,3,4
387,4,0,0,2
143,1,2,3,3
170,3,3,4,4
380,3,0,1,4
445,0,4,4,4
430,0,3,3,3
272,4,0,0,0
123,0,2,3,1
137,1,0,1,4
395,4,0,0,2
441,1,3,2,2
43,1,2,2,4
396,4,1,0,4
234,3,3,0,2
522,1,0,4,0
554,3,1,4,1
307,4,3,1,4
127,1,2,2,0
518,1,4,4,2
485,0,4,4,0
177,1,3,4,2
361,4,3,0,0
294,0,1,1,3
326,0,1,1,3
498,1,4,4,3
477,3,2,1,2
144,1,4,3,2
220,0,3,3,3
528,0,2,2,2
120,2,1,2,4
63,1,2,2,4
512,1,4,3,0
157,1,4,2,4
34,1,4,3,1
176,3,2,4,2
131,0,4,3,0
263,3,0,1,4
106,1,4,3,3
26,3,2,0,0
125,1,2,1,2
572,0,1,0,1
399,4,1,0,3
23,1,1,1,1
478,1,2,1,0
381,4,0,0,4
504,0,0,1,4
444,1,2,3,3
575,3,1,0,4
252,2,3,0,4
475,0,3,4,4
142,2,4,3,3
421,2,3,2,0
8,0,2,0,0
323,1,2,0,0
367,4,0,0,1
51,4,1,3,3
99,3,4,4,0
466,2,2,3,1
18,4,4,3,2
141,3,0,0,4
254,0,2,1,2
4,4,1,3,3
246,3,1,0,1
290,3,1,0,1
31,4,1,2,2
317,4,0,0,1
279,4,3,0,0
440,1,2,2,3
47,3,2,2,3
303,4,0,1,3
77,2,4,3,3
425,1,4,4,2
516,2,4,4,0
439,1,2,1,0
288,1,0,2,3
429,2,2,3,1
315,4,0,0,1
88,2,3,2,3
525,0,3,4,3
411,0,3,3,4
68,1,4,2,2
346,4,0,0,0
53,3,2,0,0
38,1,1,1,2
280,4,0,0,2
571,1,2,2,3
463,0,3,3,3
213,3,3,4,2
427,3,1,4,1
114,3,2,4,2
392,4,1,1,2
496,2,2,3,0
514,4,3,4,4
302,4,0,0,0
468,3,4,4,0
117,3,3,4,2
517,3,2,4,2
22,4,1,3,4
191,1,4,4,3
408,3,1,2,4
487,1,2,3,3
32,0,2,1,4
181,3,2,3,4
30,0,2,0,0
461,0,3,4,3
319,2,3,0,4
386,4,0,0,0
133,0,3,4,4
224,2,3,4,0
36,4,4,3,2
350,4,1,1,1
407,2,0,0,3
242,4,0,0,2
378,3,1,2,4
10,0,2,1,4
164,1,4,3,2
209,3,0,1,3
538,1,4,4,3
232,4,0,0,0
349,4,1,0,0
174,2,4,2,0
13,0,4,3,1
189,1,2,2,0
292,0,1,0,0
55,3,2,0,2
129,1,4,4,3
185,0,2,3,1
499,0,3,1,0
476,0,3,1,0
136,1,2,1,0
238,4,0,0,0
535,0,3,4,4
98,0,3,2,3
322,3,1,0,1
19,4,0,2,4
286,4,0,1,1
221,1,2,1,2
217,1,3,3,2
145,2,4,3,1
456,3,1,4,1
524,0,3,4,1
562,0,2,2,2
243,3,1,0,4
464,0,2,2,2
65,4,0,2,4
261,3,1,2,4
404,0,2,1,2
271,3,4,1,1
171,2,4,4,1
423,2,4,4,0
398,4,0,0,1
233,4,0,1,3
147,1,4,4,3
318,4,0,1,1
469,2,2,3,0
472,1,0,3,4
264,4,2,2,1
72,1,4,2,4
296,3,1,2,4
454,1,4,4,2
276,4,0,2,2
376,0,1,1,3
45,4,0,2,4
172,2,4,3,0
33,4,0,2,3
567,2,2,3,0
15,2,4,3,1
70,3,2,0,0
273,4,0,0,2
158,2,1,1,2
295,2,0,0,3
359,4,1,1,2
437,0,3,1,0
17,1,2,2,4
551,3,2,4,2
178,2,0,3,1
162,2,4,3,3
113,3,0,1,3
95,1,1,1,2
96,1,2,1,0
330,3,0,1,4
218,2,3,2,3
194,1,4,4,3
455,2,0,3,2
506,0,4,4,0
422,2,4,4,0
223,1,2,2,0
479,1,2,2,3
382,2,1,0,1
544,1,3,2,2
192,1,4,4,0
93,1,4,4,3
108,3,3,4,4
299,3,0,2,1
216,2,1,2,4
370,1,0,2,3
403,1,0,2,3
219,0,2,3,1
260,2,0,0,3
235,2,3,1,0
282,4,1,0,3
505,2,2,4,3
284,4,1,0,3
495,0,4,4,4
132,1,4,4,3
79,2,4,3,1
345,4,3,1,4
484,2,2,4,3
462,2,2,3,1
312,4,0,0,2
573,3,1,0,4
467,0,4,4,4
154,1,1,1,2
328,3,1,2,4
211,1,3,4,2
76,3,4,4,0
138,0,3,2,3
46,3,2,2,4
420,1,4,3,0
433,2,2,2,2
549,2,4,4,0
54,3,1,0,0
115,1,3,4,2
327,2,0,0,3
163,1,2,3,3
196,0,3,2,1
436,1,4,4,3
492,0,1,2,3
248,4,0,0,1
574,0,1,0,1
494,0,2,3,1
2,2,3,2,1
28,3,2,0,2
155,1,2,1,0
187,1,2,1,2
9,4,1,2,2
325,0,0,1,0
406,1,2,0,0
541,3,2,1,2
153,0,3,2,1
452,2,4,4,0
97,1,0,1,4
239,4,0,0,4
102,1,4,3,2
184,2,3,2,3
438,3,2,1,2
57,0,2,0,0
215,3,2,3,4
515,2,4,4,0
451,2,4,4,0
336,2,3,1,0
148,1,4,2,4
165,2,4,3,1
112,2,4,2,0
256,1,2,0,0
529,0,2,3,1
536,1,0,3,4
559,0,3,4,3
486,1,4,4,4
91,1,2,2,0
503,0,1,2,2
493,0,3,4,3
160,3,2,4,2
501,0,0,1,4
179,3,3,4,2
197,1,1,1,2
105,3,3,3,4
413,0,0,1,4
481,0,3,3,4
237,4,3,1,4
542,1,2,1,0
183,1,3,3,2
182,2,1,2,4
355,4,0,0,2
84,2,4,3,0
58,4,1,2,2
458,1,0,4,0
156,0,3,2,3
198,1,2,1,0
543,1,2,2,3
60,2,3,2,1
175,3,0,1,3
309,4,0,2,2
540,0,3,1,0
371,0,2,1,2
245,4,1,1,3
203,2,3,1,0
300,3,1,1,4
491,2,3,4,1
480,1,3,2,2
225,1,4,4,3
25,3,3,3,2
335,3,3,0,2
539,0,3,4,4
110,2,4,3,0
414,2,2,4,3
134,0,3,2,1
208,2,4,2,0
470,2,2,2,2
146,3,0,1,3
352,4,0,0,0
447,2,2,3,3
119,3,2,3,4
417,0,4,4,4
419,2,2,3,3
100,2,4,3,3
291,1,2,0,0
89,0,3,3,3
82,2,3,1,0
269,4,1,0,0
204,3,3,4,4
104,3,0,1,3
373,1,2,0,0
384,4,1,1,1
74,3,0,0,4
459,0,1,2,3
418,0,4,4,1
473,0,3,2,2
49,1,1,1,1
278,3,3,1,1
432,2,2,3,0
259,0,1,1,3
241,4,1,0,0
253,1,0,2,3
390,4,0,2,2
